ISO3,Country,Continent,CountryID
AFG,Afghanistan,Asia,0
ALB,Albania,Europe,1
DZA,Algeria,Africa,2
AGO,Angola,Africa,3
ATG,Antigua and Barbuda,America,4
ARG,Argentina,America,5
ARM,Armenia,Asia,6
AUS,Australia,Oceania,7
AUT,Austria,Europe,8
AZE,Azerbaijan,Asia,9
BHS,Bahamas,America,10
BHR,Bahrain,Asia,11
BGD,Bangladesh,Asia,12
BRB,Barbados,America,13
BLR,Belarus,Europe,14
BEL,Belgium,Europe,15
BLZ,Belize,America,16
BEN,Benin,Africa,17
BTN,Bhutan,Asia,18
BOL,Bolivia,America,19
BIH,Bosnia and Herzegovina,Europe,20
BWA,Botswana,Africa,21
BRA,Brazil,America,22
BRN,Brunei,Asia,23
BGR,Bulgaria,Europe,24
BFA,Burkina Faso,Africa,25
BDI,Burundi,Africa,26
KHM,Cambodia,Asia,27
CMR,Cameroon,Africa,28
CAN,Canada,America,29
CPV,Cape Verde,Africa,30
CAF,Central African Republic,Africa,31
TCD,Chad,Africa,32
CHL,Chile,America,33
CHN,China,Asia,34
COL,Colombia,America,35
COM,Comoros,Africa,36
CRI,Costa Rica,America,37
HRV,Croatia,Europe,38
CUB,Cuba,America,39
CYP,Cyprus,Asia,40
CZE,Czech Republic,Europe,41
DNK,Denmark,Europe,42
DJI,Djibouti,Africa,43
DMA,Dominica,America,44
DOM,Dominican Republic,America,45
ECU,Ecuador,America,46
EGY,Egypt,Africa,47
SLV,El Salvador,America,48
GNQ,Equatorial Guinea,Africa,49
ERI,Eritrea,Africa,50
EST,Estonia,Europe,51
SWZ,Eswatini,Africa,52
ETH,Ethiopia,Africa,53
FJI,Fiji,Oceania,54
FIN,Finland,Europe,55
FRA,France,Europe,56
GAB,Gabon,Africa,57
GMB,Gambia,Africa,58
GEO,Georgia,Asia,59
DEU,Germany,Europe,60
GHA,Ghana,Africa,61
GRC,Greece,Europe,62
GRD,Grenada,America,63
GTM,Guatemala,America,64
GIN,Guinea,Africa,65
GNB,Guinea-Bissau,Africa,66
GUY,Guyana,America,67
HTI,Haiti,America,68
HND,Honduras,America,69
HUN,Hungary,Europe,70
ISL,Iceland,Europe,71
IND,India,Asia,72
IDN,Indonesia,Asia,73
IRN,Iran,Asia,74
IRQ,Iraq,Asia,75
IRL,Ireland,Europe,76
ISR,Israel,Asia,77
ITA,Italy,Europe,78
CIV,Ivory Coast,Africa,79
JAM,Jamaica,America,80
JPN,Japan,Asia,81
JOR,Jordan,Asia,82
